Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W01241176964,0
A2,W06241177339,0
A3,W06241177341,0
A4,W06241177342,0
A5,W06241177359,0
A6,W06241177362,0
A7,W06241177370,0
A8,W01241178030,0
A9,W01241178031,0
A10,W01241178032,0
A11,W01241178033,0
A12,W01241178034,0
B1,W01241178035,0
B2,W01241178036,0
B3,W01241178037,0
B4,W01241178038,0
B5,W01241178039,0
B6,W01241178040,0
B7,W01241178041,0
B8,W01241178143,0
B9,W08241177816,0
B10,W08241177817,0
B11,W08241177818,0
B12,W01241178280,0
C1,W01241178281,0
C2,W01241178282,0
C3:,,0
C4:,,0
C5:,,0
C6:,,0
C7:,,0
C8:,,0
C9:,,0
C10:,,0
C11:,,0
C12:,,0
D1:,,0
D2:,,0
D3:,,0
D4:,,0
D5:,,0
D6:,,0
D7:,,0
D8:,,0
D9:,,0
D10:,,0
D11:,,0
D12:,,0
E1:,,0
E2:,,0
E3:,,0
E4:,,0
E5:,,0
E6:,,0
E7:,,0
E8:,,0
E9:,,0
E10:,,0
E11:,,0
E12:,,0
F1:,,0
F2:,,0
F3:,,0
F4:,,0
F5:,,0
F6:,,0
F7:,,0
F8:,,0
F9:,,0
F10:,,0
F11:,,0
F12:,,0
G1:,,0
G2:,,0
G3:,,0
G4:,,0
G5:,,0
G6:,,0
G7:,,0
G8:,,0
G9:,,0
G10:,,0
G11:,,0
G12:,,0
H1:,,0
H2:,,0
H3:,,0
H4:,,0
H5:,,0
H6:,,0
H7:,,0
H8:,,0
H9:,,0
H10:,,0
H11:,,0
H12:,,0
